value,emory_probability,nu_probability,rush_probability
2,,0.058790904048807546,
4,,,0.03837953091684435
4.2,0.06568144499178982,,
7,,0.11813643926788686,
7.4,,,0.06183368869936034
8,0.1412151067323481,,
11,0.2019704433497537,0.17859123682750971,0.09381663113006397
16,0.2627257799671593,0.23627287853577372,0.1279317697228145
20,0.32348111658456485,0.281198003327787,0.1535181236673774
33,0.4614121510673235,,
35,,0.4276206322795341,
49,0.5977011494252874,,
51,,,0.3091684434968017
54,,0.5751525235718248,
64,0.735632183908046,,
64.8,,,0.44989339019189767
78,,0.7160288408208542,
84,,,0.603411513859275
84.8,0.8637110016420362,,
88.4,0.8916256157635468,,
96.8,0.9178981937602627,,
102.2,0.9458128078817734,,
113,0.9737274220032841,,
115,,0.8535773710482529,
120,,0.906267332224071,
122.2,,0.9123682750970604,
126,,,0.8422174840085288
130,1.0,,
134,,0.9428729894620078,
140,,0.9733777038269551,1.0
151,,1.0,
