Variable,Overall__Emory,Overall__NU,Overall__OHSU,Overall__RUSH,Overall__UCMC,Overall__UMN,Overall__UPenn,Overall__ALL
N: Encounter blocks,"28,870","57,876","27,746","15,093","18,494","54,583","57,451","260,113"
N: Unique patients,"26,146","51,341","25,223","13,429","16,827","47,293","51,208","231,467"
N: Hospitals,9,10,2,1,1,12,8,43
"Age at admission, median [Q1, Q3]","65 [54, 74]","67 [56, 76]","64 [52, 73]","64 [54, 73]","63 [51, 72]","65 [55, 74]","66 [56, 74]","65.4 [51, 76]"
  Race: Black or African American,"11,434 (43.7%)","6,138 (12.0%)",507 (2.0%),"4,376 (32.6%)","8,822 (52.4%)","2,657 (5.6%)","12,547 (24.5%)","46,481 (20.1%)"
  Race: unknown,,,,,,,"3,339 (6.5%)","3,339 (6.5%)"
  Race: White,"11,329 (43.3%)","37,195 (72.4%)","21,250 (84.2%)","5,867 (43.7%)","5,484 (32.6%)","39,848 (84.3%)","31,500 (61.5%)","152,473 (65.9%)"
Race: Other,"2,270 (8.6%)","5,982 (11.6%)","2,790 (11.0%)","2,665 (19.9%)","2,118 (12.6%)","2,264 (4.8%)",,"18,089 (10.0%)"
  Race: Asian,"1,113 (4.3%)","2,026 (3.9%)",676 (2.7%),521 (3.9%),403 (2.4%),"2,524 (5.3%)","1,829 (3.6%)","9,092 (3.9%)"
  Race: other,,,,,,,"1,821 (3.6%)","1,821 (3.6%)"
  Race: american indian or alaska native,,,,,,,107 (0.2%),107 (0.2%)
  Race: native hawaiian or other pacific islander,,,,,,,65 (0.1%),65 (0.1%)
  Ethnicity: Non-Hispanic,"23,114 (88.4%)","44,642 (87.0%)","21,480 (85.2%)","10,633 (79.2%)","14,554 (86.5%)","46,497 (98.3%)","47,902 (93.5%)","208,822 (90.2%)"
  Ethnicity: Unknown,"1,892 (7.2%)","2,146 (4.2%)","1,989 (7.9%)",186 (1.4%),"1,232 (7.3%)",15 (0.0%),"1,562 (3.1%)","9,022 (3.9%)"
