sofa_score,total_encounters__Emory,total_encounters__JHU,total_encounters__MIMIC,total_encounters__Michigan,total_encounters__NU,total_encounters__OHSU,total_encounters__RUSH,total_encounters__Sunnybrook,total_encounters__UCMC,total_encounters__UCSF,total_encounters__UMN,total_encounters__UPenn,total_encounters__ALL,n_encounters__Emory,n_encounters__JHU,n_encounters__MIMIC,n_encounters__Michigan,n_encounters__NU,n_encounters__OHSU,n_encounters__RUSH,n_encounters__Sunnybrook,n_encounters__UCMC,n_encounters__UCSF,n_encounters__UMN,n_encounters__UPenn,n_encounters__ALL,n_deaths__Emory,n_deaths__JHU,n_deaths__MIMIC,n_deaths__Michigan,n_deaths__NU,n_deaths__OHSU,n_deaths__RUSH,n_deaths__Sunnybrook,n_deaths__UCMC,n_deaths__UCSF,n_deaths__UMN,n_deaths__UPenn,n_deaths__ALL,mortality_rate_percent__Emory,mortality_rate_percent__JHU,mortality_rate_percent__MIMIC,mortality_rate_percent__Michigan,mortality_rate_percent__NU,mortality_rate_percent__OHSU,mortality_rate_percent__RUSH,mortality_rate_percent__Sunnybrook,mortality_rate_percent__UCMC,mortality_rate_percent__UCSF,mortality_rate_percent__UMN,mortality_rate_percent__UPenn,mortality_rate_percent__ALL,ci_lower_95__Emory,ci_lower_95__JHU,ci_lower_95__MIMIC,ci_lower_95__Michigan,ci_lower_95__NU,ci_lower_95__OHSU,ci_lower_95__RUSH,ci_lower_95__Sunnybrook,ci_lower_95__UCMC,ci_lower_95__UCSF,ci_lower_95__UMN,ci_lower_95__UPenn,ci_lower_95__ALL,ci_upper_95__Emory,ci_upper_95__JHU,ci_upper_95__MIMIC,ci_upper_95__Michigan,ci_upper_95__NU,ci_upper_95__OHSU,ci_upper_95__RUSH,ci_upper_95__Sunnybrook,ci_upper_95__UCMC,ci_upper_95__UCSF,ci_upper_95__UMN,ci_upper_95__UPenn,ci_upper_95__ALL,ci_margin_95__Emory,ci_margin_95__JHU,ci_margin_95__MIMIC,ci_margin_95__Michigan,ci_margin_95__NU,ci_margin_95__OHSU,ci_margin_95__RUSH,ci_margin_95__Sunnybrook,ci_margin_95__UCMC,ci_margin_95__UCSF,ci_margin_95__UMN,ci_margin_95__UPenn,ci_margin_95__ALL
0.0,33309.0,55509.0,40678.0,,56285.0,25396.0,20588.0,3153.0,23239.0,33368.0,69244.0,72050.0,432819,2682.0,2461.0,1055.0,,3270.0,1515.0,2073.0,353.0,1875.0,1340.0,5965.0,7656.0,30245.0,264.0,304.0,201.0,,316.0,106.0,227.0,14.0,200.0,156.0,618.0,898.0,3304.0,9.84,12.35,19.05,,9.66,7.0,10.95,3.97,10.67,11.64,10.36,11.73,10.923527,8.72,11.05,16.68,,8.65,5.71,9.61,1.88,9.27,9.92,9.59,11.01,9.848595,10.97,13.65,21.42,,10.68,8.28,12.3,6.05,12.06,13.36,11.13,12.45,11.999874,1.13,1.3,2.37,,1.01,1.29,1.34,2.08,1.4,1.72,0.77,0.72,1.075701
1.0,33309.0,55509.0,40678.0,,56285.0,25396.0,20588.0,3153.0,23239.0,33368.0,69244.0,72050.0,432819,3470.0,3977.0,3576.0,,5087.0,2818.0,2738.0,528.0,1590.0,2564.0,7393.0,8121.0,41862.0,444.0,561.0,538.0,,667.0,200.0,319.0,22.0,234.0,303.0,902.0,1169.0,5359.0,12.8,14.11,15.04,,13.11,7.1,11.65,4.17,14.72,11.82,12.2,14.39,12.801094,11.68,13.02,13.87,,12.18,6.15,10.45,2.44,12.98,10.57,11.45,13.63,11.80495,13.91,15.19,16.22,,14.04,8.05,12.85,5.9,16.46,13.07,12.95,15.16,13.798254,1.11,1.08,1.17,,0.93,0.95,1.2,1.73,1.74,1.25,0.75,0.76,0.994366
2.0,33309.0,55509.0,40678.0,,56285.0,25396.0,20588.0,3153.0,23239.0,33368.0,69244.0,72050.0,432819,2760.0,3753.0,3903.0,,4115.0,2098.0,1988.0,521.0,1161.0,2303.0,5636.0,7015.0,35253.0,386.0,601.0,510.0,,662.0,185.0,254.0,29.0,179.0,249.0,804.0,1025.0,4884.0,13.99,16.01,13.07,,16.09,8.82,12.78,5.57,15.42,10.81,14.27,14.61,13.855456,12.69,14.84,12.01,,14.96,7.6,11.31,3.58,13.34,9.54,13.35,13.78,12.731236,15.28,17.19,14.12,,17.21,10.03,14.24,7.55,17.49,12.08,15.18,15.44,14.974448,1.29,1.17,1.06,,1.12,1.21,1.47,1.99,2.08,1.27,0.91,0.83,1.120075
3.0,33309.0,55509.0,40678.0,,56285.0,25396.0,20588.0,3153.0,23239.0,33368.0,69244.0,72050.0,432819,2764.0,4286.0,4384.0,,4144.0,2261.0,2143.0,330.0,1349.0,2220.0,5560.0,7498.0,36939.0,488.0,735.0,578.0,,725.0,239.0,340.0,40.0,223.0,286.0,852.0,1163.0,5669.0,17.66,17.15,13.18,,17.5,10.57,15.87,12.12,16.53,12.88,15.32,15.51,15.346701,16.23,16.02,12.18,,16.34,9.3,14.32,8.59,14.55,11.49,14.38,14.69,14.196796,19.08,18.28,14.19,,18.65,11.84,17.41,15.65,18.51,14.28,16.27,16.33,16.497449,1.42,1.13,1.0,,1.16,1.27,1.55,3.53,1.98,1.39,0.95,0.82,1.150662
4.0,33309.0,55509.0,40678.0,,56285.0,25396.0,20588.0,3153.0,23239.0,33368.0,69244.0,72050.0,432819,3015.0,4977.0,5193.0,,4561.0,2491.0,2205.0,270.0,1932.0,2541.0,6166.0,7747.0,41098.0,544.0,932.0,716.0,,941.0,290.0,438.0,44.0,275.0,347.0,1113.0,1347.0,6987.0,18.04,18.73,13.79,,20.63,11.64,19.86,16.3,14.23,13.66,18.05,17.39,17.001346,16.67,17.64,12.85,,19.46,10.38,18.2,11.9,12.68,12.32,17.09,16.54,15.865911,19.42,19.81,14.73,,21.81,12.9,21.53,20.7,15.79,14.99,19.01,18.23,18.135916,1.37,1.08,0.94,,1.17,1.26,1.66,4.4,1.56,1.34,0.96,0.84,1.132808
5.0,33309.0,55509.0,40678.0,,56285.0,25396.0,20588.0,3153.0,23239.0,33368.0,69244.0,72050.0,432819,2734.0,4604.0,4844.0,,4251.0,2280.0,1871.0,290.0,1871.0,2510.0,5470.0,6827.0,37552.0,608.0,966.0,710.0,,957.0,284.0,406.0,49.0,294.0,397.0,1070.0,1253.0,6994.0,22.24,20.98,14.66,,22.51,12.46,21.7,16.9,15.71,15.82,19.56,18.35,18.624305,20.68,19.81,13.66,,21.26,11.1,19.83,12.59,14.06,14.39,18.51,17.44,17.391575,23.8,22.16,15.65,,23.77,13.81,23.57,21.2,17.36,17.24,20.61,19.27,19.858568,1.56,1.18,1.0,,1.26,1.36,1.87,4.31,1.65,1.43,1.05,0.92,1.236906
6.0,33309.0,55509.0,40678.0,,56285.0,25396.0,20588.0,3153.0,23239.0,33368.0,69244.0,72050.0,432819,2429.0,4228.0,3957.0,,4041.0,2024.0,1431.0,241.0,1985.0,2468.0,5084.0,5578.0,33466.0,530.0,913.0,651.0,,886.0,288.0,353.0,36.0,297.0,373.0,949.0,1150.0,6426.0,21.82,21.59,16.45,,21.93,14.23,24.67,14.94,14.96,15.11,18.67,20.62,19.202284,20.18,20.35,15.3,,20.65,12.71,22.44,10.44,13.39,13.7,17.6,19.56,17.880037,23.46,22.83,17.61,,23.2,15.75,26.9,19.44,16.53,16.53,19.74,21.68,20.525243,1.64,1.24,1.16,,1.28,1.52,2.23,4.5,1.57,1.41,1.07,1.06,1.323429
7.0,33309.0,55509.0,40678.0,,56285.0,25396.0,20588.0,3153.0,23239.0,33368.0,69244.0,72050.0,432819,2356.0,4050.0,3290.0,,4167.0,1962.0,1252.0,191.0,1882.0,2640.0,4921.0,4794.0,31505.0,540.0,900.0,664.0,,923.0,352.0,351.0,33.0,337.0,482.0,985.0,1094.0,6661.0,22.92,22.22,20.18,,22.15,17.94,28.04,17.28,17.91,18.26,20.02,22.82,21.143219,21.22,20.94,18.81,,20.89,16.24,25.55,11.93,16.17,16.78,18.9,21.63,19.720591,24.62,23.5,21.55,,23.41,19.64,30.52,22.62,19.64,19.73,21.13,24.01,22.562393,1.7,1.28,1.37,,1.26,1.7,2.49,5.35,1.73,1.47,1.12,1.19,1.421193
8.0,33309.0,55509.0,40678.0,,56285.0,25396.0,20588.0,3153.0,23239.0,33368.0,69244.0,72050.0,432819,2306.0,3970.0,2876.0,,4306.0,1783.0,1038.0,160.0,1723.0,2580.0,4503.0,4369.0,29614.0,608.0,1022.0,690.0,,926.0,375.0,321.0,42.0,372.0,407.0,955.0,1186.0,6904.0,26.37,25.74,23.99,,21.5,21.03,30.92,26.25,21.59,15.78,21.21,27.15,23.313354,24.57,24.38,22.43,,20.28,19.14,28.12,19.49,19.65,14.37,20.01,25.83,21.800595,28.16,27.1,25.55,,22.73,22.92,33.73,33.01,23.53,17.18,22.4,28.46,24.823272,1.8,1.36,1.56,,1.23,1.89,2.81,6.76,1.94,1.41,1.19,1.32,1.513043
9.0,33309.0,55509.0,40678.0,,56285.0,25396.0,20588.0,3153.0,23239.0,33368.0,69244.0,72050.0,432819,1863.0,3929.0,2122.0,,3984.0,1365.0,863.0,105.0,1507.0,2460.0,4130.0,3575.0,25903.0,522.0,933.0,601.0,,832.0,309.0,272.0,23.0,371.0,431.0,899.0,1180.0,6373.0,28.02,23.75,28.32,,20.88,22.64,31.52,21.9,24.62,17.52,21.77,33.01,24.604224,25.98,22.42,26.41,,19.62,20.42,28.42,14.07,22.45,16.02,20.51,31.47,22.971356,30.06,25.08,30.24,,22.15,24.86,34.61,29.74,26.79,19.02,23.03,34.55,26.239157,2.04,1.33,1.92,,1.26,2.22,3.09,7.83,2.17,1.5,1.26,1.54,1.633354
