comorbidity,n_patients__Emory,n_patients__JHU,n_patients__MIMIC,n_patients__NU,n_patients__OHSU,n_patients__RUSH,n_patients__Sunnybrook,n_patients__UCMC,n_patients__UCSF,n_patients__UMN,n_patients__UPenn,n_patients__ALL,prevalence_percent__Emory,prevalence_percent__JHU,prevalence_percent__MIMIC,prevalence_percent__NU,prevalence_percent__OHSU,prevalence_percent__RUSH,prevalence_percent__Sunnybrook,prevalence_percent__UCMC,prevalence_percent__UCSF,prevalence_percent__UMN,prevalence_percent__UPenn,prevalence_percent__ALL,per_1000_hospitalizations__Emory,per_1000_hospitalizations__JHU,per_1000_hospitalizations__MIMIC,per_1000_hospitalizations__NU,per_1000_hospitalizations__OHSU,per_1000_hospitalizations__RUSH,per_1000_hospitalizations__Sunnybrook,per_1000_hospitalizations__UCMC,per_1000_hospitalizations__UCSF,per_1000_hospitalizations__UMN,per_1000_hospitalizations__UPenn,per_1000_hospitalizations__ALL
congestive_heart_failure,22361,33027,7069,25692,9054,10411,1976,13150,11471,44366,43247,221824,49.08,41.25,33.05,44.87,29.65,44.69,15.72,45.71,34.37,39.7,47.44,41.404386,490.8,412.5,330.5,448.7,296.5,446.9,157.2,457.1,343.7,397.0,474.4,414.043864
renal_disease,17741,25850,5155,19701,6187,9061,1498,9353,10815,36517,29984,171862,38.94,32.28,24.1,34.41,20.26,38.89,11.92,32.51,32.4,32.68,32.89,32.078768,389.4,322.8,241.0,344.1,202.6,388.9,119.2,325.1,324.0,326.8,328.9,320.787681
chronic_pulmonary_disease,17089,29700,5473,19172,8223,8712,2024,11109,9704,43918,33897,189021,37.51,37.09,25.59,33.48,26.93,37.4,16.1,38.62,29.07,39.3,37.18,35.281568,375.1,370.9,255.9,334.8,269.3,374.0,161.0,386.2,290.7,393.0,371.8,352.815679
diabetes_with_complications,12378,18557,3571,12787,4531,7010,0,5908,4497,22645,19155,111039,27.17,23.18,16.7,22.33,14.84,30.09,0.0,20.54,13.47,20.27,21.01,20.725898,271.7,231.8,167.0,223.3,148.4,300.9,0.0,205.4,134.7,202.7,210.1,207.258983
peripheral_vascular_disease,8453,11242,2634,13352,4028,5363,1721,2495,7145,15735,18167,90335,18.55,14.04,12.32,23.32,13.19,23.02,13.69,8.67,21.41,14.08,19.93,16.861409,185.5,140.4,123.2,233.2,131.9,230.2,136.9,86.7,214.1,140.8,199.3,168.614092
diabetes_uncomplicated,7357,13019,3599,8937,5128,3391,3278,4367,6261,20144,15806,91287,16.15,16.26,16.83,15.61,16.79,14.56,26.08,15.18,18.76,18.03,17.34,17.039104,161.5,162.6,168.3,156.1,167.9,145.6,260.8,151.8,187.6,180.3,173.4,170.391041
cerebrovascular_disease,7269,10667,3243,12014,4151,6942,3338,3672,9196,12941,12290,85723,15.96,13.32,15.16,20.98,13.59,29.8,26.56,12.76,27.55,11.58,13.48,16.00056,159.6,133.2,151.6,209.8,135.9,298.0,265.6,127.6,275.5,115.8,134.8,160.0056
myocardial_infarction,7169,16379,4740,11520,4233,6560,1673,3729,5795,19736,13261,94795,15.74,20.46,22.16,20.12,13.86,28.16,13.31,12.96,17.36,17.66,14.55,17.693887,157.4,204.6,221.6,201.2,138.6,281.6,133.1,129.6,173.6,176.6,145.5,176.938871
cancer,3565,6896,1637,6575,3794,2721,245,2059,4473,9367,8041,49373,7.83,8.61,7.65,11.48,12.42,11.68,1.95,7.16,13.4,8.38,8.82,9.215679,78.3,86.1,76.5,114.8,124.2,116.8,19.5,71.6,134.0,83.8,88.2,92.15679
mild_liver_disease,3172,5712,1262,4286,2381,2414,366,1536,3050,7563,5939,37681,6.96,7.13,5.9,7.49,7.8,10.36,2.91,5.34,9.14,6.77,6.51,7.033318,69.6,71.3,59.0,74.9,78.0,103.6,29.1,53.4,91.4,67.7,65.1,70.333178
