sofa_score,total_encounters__Emory,total_encounters__JHU,total_encounters__MIMIC,total_encounters__Michigan,total_encounters__NU,total_encounters__OHSU,total_encounters__RUSH,total_encounters__Sunnybrook,total_encounters__UCMC,total_encounters__UCSF,total_encounters__UMN,total_encounters__UPenn,total_encounters__ALL,n_encounters__Emory,n_encounters__JHU,n_encounters__MIMIC,n_encounters__Michigan,n_encounters__NU,n_encounters__OHSU,n_encounters__RUSH,n_encounters__Sunnybrook,n_encounters__UCMC,n_encounters__UCSF,n_encounters__UMN,n_encounters__UPenn,n_encounters__ALL,n_deaths__Emory,n_deaths__JHU,n_deaths__MIMIC,n_deaths__Michigan,n_deaths__NU,n_deaths__OHSU,n_deaths__RUSH,n_deaths__Sunnybrook,n_deaths__UCMC,n_deaths__UCSF,n_deaths__UMN,n_deaths__UPenn,n_deaths__ALL,mortality_rate_percent__Emory,mortality_rate_percent__JHU,mortality_rate_percent__MIMIC,mortality_rate_percent__Michigan,mortality_rate_percent__NU,mortality_rate_percent__OHSU,mortality_rate_percent__RUSH,mortality_rate_percent__Sunnybrook,mortality_rate_percent__UCMC,mortality_rate_percent__UCSF,mortality_rate_percent__UMN,mortality_rate_percent__UPenn,mortality_rate_percent__ALL,ci_lower_95__Emory,ci_lower_95__JHU,ci_lower_95__MIMIC,ci_lower_95__Michigan,ci_lower_95__NU,ci_lower_95__OHSU,ci_lower_95__RUSH,ci_lower_95__Sunnybrook,ci_lower_95__UCMC,ci_lower_95__UCSF,ci_lower_95__UMN,ci_lower_95__UPenn,ci_lower_95__ALL,ci_upper_95__Emory,ci_upper_95__JHU,ci_upper_95__MIMIC,ci_upper_95__Michigan,ci_upper_95__NU,ci_upper_95__OHSU,ci_upper_95__RUSH,ci_upper_95__Sunnybrook,ci_upper_95__UCMC,ci_upper_95__UCSF,ci_upper_95__UMN,ci_upper_95__UPenn,ci_upper_95__ALL,ci_margin_95__Emory,ci_margin_95__JHU,ci_margin_95__MIMIC,ci_margin_95__Michigan,ci_margin_95__NU,ci_margin_95__OHSU,ci_margin_95__RUSH,ci_margin_95__Sunnybrook,ci_margin_95__UCMC,ci_margin_95__UCSF,ci_margin_95__UMN,ci_margin_95__UPenn,ci_margin_95__ALL
0.0,78000,124357,84809.0,13350.0,125101,56399.0,57642.0,44114.0,41148,77246,156828,167797.0,1026791,12222,15034,6551.0,1596.0,18137,7184.0,10144.0,4853.0,7018,6479,36036,41817.0,167071,528,480,395.0,52.0,474,238.0,480.0,195.0,244,242,1160,1482.0,5970,4.32,3.19,6.03,3.26,2.61,3.31,4.73,4.02,3.48,3.74,3.22,3.54,3.57,3.96,2.91,5.45,2.38,2.38,2.9,4.32,3.46,3.05,3.27,3.04,3.37,3.48,4.68,3.47,6.61,4.14,2.85,3.73,5.15,4.57,3.91,4.2,3.4,3.72,3.66,0.36,0.28,0.58,0.88,0.23,0.41,0.41,0.55,0.43,0.46,0.18,0.18,0.09
1.0,78000,124357,84809.0,13350.0,125101,56399.0,57642.0,44114.0,41148,77246,156828,167797.0,1026791,16605,24189,14653.0,2011.0,24770,11083.0,13092.0,7701.0,5626,14159,36809,35989.0,206687,923,979,899.0,80.0,1059,429.0,728.0,315.0,314,467,1706,1980.0,9879,5.56,4.05,6.14,3.98,4.28,3.87,5.56,4.09,5.58,3.3,4.63,5.5,4.78,5.21,3.8,5.75,3.12,4.02,3.51,5.17,3.65,4.98,3.0,4.42,5.27,4.69,5.91,4.3,6.52,4.84,4.53,4.23,5.95,4.53,6.18,3.59,4.85,5.74,4.87,0.35,0.25,0.39,0.86,0.25,0.36,0.39,0.44,0.6,0.29,0.21,0.24,0.09
2.0,78000,124357,84809.0,13350.0,125101,56399.0,57642.0,44114.0,41148,77246,156828,167797.0,1026791,11701,18382,13172.0,1286.0,16155,7188.0,7927.0,7185.0,3719,12178,21937,22414.0,143244,839,1064,945.0,79.0,1148,421.0,576.0,470.0,283,439,1605,1842.0,9711,7.17,5.79,7.17,6.14,7.11,5.86,7.27,6.54,7.61,3.6,7.32,8.22,6.78,6.7,5.45,6.73,4.83,6.71,5.31,6.69,5.97,6.76,3.27,6.97,7.86,6.65,7.64,6.13,7.62,7.46,7.5,6.4,7.84,7.11,8.46,3.94,7.66,8.58,6.91,0.47,0.34,0.44,1.32,0.4,0.54,0.57,0.57,0.85,0.33,0.34,0.36,0.13
3.0,78000,124357,84809.0,13350.0,125101,56399.0,57642.0,44114.0,41148,77246,156828,167797.0,1026791,9215,13725,10373.0,1057.0,12022,5811.0,6134.0,4780.0,3204,8450,16454,17165.0,108390,1104,1389,1079.0,119.0,1311,515.0,755.0,451.0,349,508,1730,2116.0,11426,11.98,10.12,10.4,11.26,10.91,8.86,12.31,9.44,10.89,6.01,10.51,12.33,10.54,11.32,9.62,9.81,9.35,10.35,8.13,11.49,8.61,9.81,5.5,10.05,11.84,10.36,12.64,10.62,10.99,13.17,11.46,9.59,13.13,10.26,11.97,6.52,10.98,12.82,10.72,0.66,0.5,0.59,1.91,0.56,0.73,0.82,0.83,1.08,0.51,0.47,0.49,0.18
4.0,78000,124357,84809.0,13350.0,125101,56399.0,57642.0,44114.0,41148,77246,156828,167797.0,1026791,8965,12106,9983.0,845.0,10538,5680.0,5884.0,3848.0,3374,7253,14362,15607.0,98445,1160,1553,1264.0,130.0,1567,667.0,887.0,525.0,390,566,2032,2303.0,13044,12.94,12.83,12.66,15.38,14.87,11.74,15.07,13.64,11.56,7.8,14.15,14.76,13.25,12.24,12.23,12.01,12.95,14.19,10.91,14.16,12.56,10.48,7.19,13.58,14.2,13.04,13.63,13.42,13.31,17.82,15.55,12.58,15.99,14.73,12.64,8.42,14.72,15.31,13.46,0.69,0.6,0.65,2.43,0.68,0.84,0.91,1.08,1.08,0.62,0.57,0.56,0.21
5.0,78000,124357,84809.0,13350.0,125101,56399.0,57642.0,44114.0,41148,77246,156828,167797.0,1026791,7158,9700,8065.0,713.0,8475,4712.0,4625.0,3844.0,2876,5786,11171,12106.0,79231,1293,1517,1115.0,104.0,1427,571.0,797.0,629.0,414,597,1802,2050.0,12316,18.06,15.64,13.83,14.59,16.84,12.12,17.23,16.36,14.39,10.32,16.13,16.93,15.54,17.17,14.92,13.07,12.0,16.04,11.19,16.14,15.19,13.11,9.53,15.45,16.27,15.29,18.95,16.36,14.58,17.18,17.63,13.05,18.32,17.53,15.68,11.1,16.81,17.6,15.80,0.89,0.72,0.75,2.59,0.8,0.93,1.09,1.17,1.28,0.78,0.68,0.67,0.25
6.0,78000,124357,84809.0,13350.0,125101,56399.0,57642.0,44114.0,41148,77246,156828,167797.0,1026791,5483,7777,6096.0,670.0,6903,3518.0,3045.0,3362.0,2676,4790,9178,9000.0,62498,1147,1476,1034.0,107.0,1352,486.0,669.0,590.0,412,574,1575,1865.0,11287,20.92,18.98,16.96,15.97,19.59,13.81,21.97,17.55,15.4,11.98,17.16,20.72,18.06,19.84,18.11,16.02,13.2,18.65,12.67,20.5,16.26,14.03,11.06,16.39,19.88,17.76,22.0,19.85,17.9,18.74,20.52,14.95,23.44,18.83,16.76,12.9,17.93,21.56,18.36,1.08,0.87,0.94,2.77,0.94,1.14,1.47,1.29,1.37,0.92,0.77,0.84,0.30
7.0,78000,124357,84809.0,13350.0,125101,56399.0,57642.0,44114.0,41148,77246,156828,167797.0,1026791,4611,6521,4626.0,690.0,6020,3094.0,2212.0,2784.0,2299,4261,7710,7046.0,51874,1063,1346,972.0,105.0,1306,543.0,595.0,531.0,428,703,1556,1665.0,10813,23.05,20.64,21.01,15.22,21.69,17.55,26.9,19.07,18.62,16.5,20.18,23.63,20.84,21.84,19.66,19.84,12.54,20.65,16.21,25.05,17.61,17.03,15.38,19.29,22.64,20.50,24.27,21.62,22.19,17.9,22.74,18.89,28.75,20.53,20.21,17.61,21.08,24.62,21.19,1.22,0.98,1.17,2.68,1.04,1.34,1.85,1.46,1.59,1.11,0.9,0.99,0.35
8.0,78000,124357,84809.0,13350.0,125101,56399.0,57642.0,44114.0,41148,77246,156828,167797.0,1026791,4082,5801,3671.0,765.0,5649,2627.0,1655.0,2089.0,2017,3698,6553,5958.0,44565,1120,1427,903.0,102.0,1300,600.0,531.0,440.0,449,572,1408,1687.0,10539,27.44,24.6,24.6,13.33,23.01,22.84,32.08,21.06,22.26,15.47,21.49,28.31,23.65,26.07,23.49,23.21,10.92,21.92,21.24,29.84,19.31,20.45,14.3,20.49,27.17,23.25,28.81,25.71,25.99,15.74,24.11,24.44,34.33,22.81,24.08,16.63,22.48,29.46,24.04,1.37,1.11,1.39,2.41,1.1,1.6,2.25,1.75,1.81,1.17,0.99,1.14,0.39
9.0,78000,124357,84809.0,13350.0,125101,56399.0,57642.0,44114.0,41148,77246,156828,167797.0,1026791,3081,5270,2609.0,829.0,4808,1829.0,1183.0,1539.0,1713,3215,5665,4642.0,36383,907,1249,753.0,113.0,1084,446.0,409.0,375.0,448,560,1287,1588.0,9219,29.44,23.7,28.86,13.63,22.55,24.38,34.57,24.37,26.15,17.42,22.72,34.21,25.34,27.83,22.55,27.12,11.29,21.36,22.42,31.87,22.22,24.07,16.11,21.63,32.85,24.89,31.05,24.85,30.6,15.97,23.73,26.35,37.28,26.51,28.23,18.73,23.81,35.57,25.79,1.61,1.15,1.74,2.34,1.18,1.97,2.71,2.14,2.08,1.31,1.09,1.36,0.45
