value,emory_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,umn_probability,upenn_probability
32.86,,,,,0.0022087244616234127,,
33.86,,,,0.0027982003730933833,,,
35.01,,,,,,,0.002429909303081332
35.08,,,0.0023247827120703776,,,,
35.085,,,,,,0.0019309013171505413,
35.2,0.0027169404347104696,,,,,,
36.22,,,,,0.004417448923246825,,
36.32,,,,0.0055964007461867665,,,
36.999,0.005599800895968144,,,,,,
37,,0.0013477088948787063,,,,,
37.32,,,,,,,0.004859818606162664
37.5,,,0.004926954270467334,,,0.0039012087836306857,
37.9,,,,0.008504334467244596,,,
38.451,0.008119711299153808,,,,,,
38.899,,,,,,0.005822258563448826,0.007319270879494224
39,,,0.007172483026444403,,,,
39.2,,,,0.011357401514320202,,,
39.4,0.01089887174381948,,,,,,
39.7,,0.0025825207095581493,,,,,
40,,,,,0.00717835450027609,,
40.052,,,,,,0.007733456805934566,
40.1,,,,,,,0.009727022954887884
40.2,,,0.009418011782421472,,,,
40.3,,,,0.013936135191484691,,,
40.415,0.013532852165256347,,,,,,
40.6,,0.003951397806974217,,,,,
41,,,0.011623913560351888,,,0.009644655048420306,0.012142160772844102
41.66,,,,,0.008282716731087797,,
42,,0.00511564894652912,,,0.010491441192711209,,
42.9,,0.006378685031258379,,,,,
43.899,0.027096814335490292,,,,,,
44,,,,0.027872270382969383,,,
44.4,,,,,,,0.023966734615498243
44.5,,,,,,0.01924990394751101,
44.987,,,0.022838348347555014,,,,
45.5,,0.01304666883052737,,,,,
45.6,,,,,0.020982882385422418,,
46.3,0.04097187655550025,,,,,,
46.5,,,,0.04136947218259629,,,
46.7,,,,,,,0.03627876746728116
46.811,,,,,,0.028845301309269312,
47,,,0.03501703960056006,,,,
47.6,,0.0191572232963125,,,,,
47.62,,,,,0.030922142462727776,,
48.304,,,,0.054976407330187646,,,
48.499,0.054390658702505396,,,,,,
48.534,,,,,,0.03851951096968682,
48.699,,,,,,,0.04818458447812343
48.8,,,,,0.041413583655438985,,
49,,,0.04854304810715135,,,,
49.1,,0.025423011247371615,,,,,
49.999,0.06765389082462253,,0.057102475365228646,,,0.04805579910745072,0.059861443469526425
50,,0.03166763099589337,,0.06874794249972567,0.05135284373274434,,
60.2,,,,,0.21755935946990612,,
61.299,0.2149597643935623,,,,,,
61.599,,,,0.21200482826731043,,,
62.499,,,,,,,0.20931194422287216
62.899,,,0.205294164267033,,,,
63.499,,,,,,0.19077502044193997,
64.8,,0.1716176740379052,,,,,
69.2,,,,,0.3815571507454445,,
69.999,0.3628878380620541,,,,,,
70.399,,,,0.35427411390321517,,,
70.999,,,0.3541066758249016,,,,0.3587476734910928
72.299,,,,,,0.3346862777936497,
73.3,,0.311955800793102,,,,,
76.26,,,,,0.5455549420209829,,
77.899,0.5096026215364194,,,,,,
79.099,,,,,,,0.5060193801884841
79.199,,,,0.49566553275540437,,,
79.379,,,0.5013473172535863,,,,
80.299,,,,,,0.4758785108416168,
81.8,,0.45214575013053726,,,,,
85,,,,,0.7194919933738266,,
86.899,0.6567944250871081,,,,,,
88.199,,,,,,,0.6536973027268161
88.399,,,0.6492880352944285,,,,
88.599,,,,0.6360693514759135,,,
89.399,,,,,,0.6189917936694022,
90.3,,0.5913266818136916,,,,,
99.999,0.8035817985730878,,0.797308007291364,0.7772413036321738,,0.7607948220319781,0.8017592838784011
100,,0.7294633155050028,,,0.8752070679182772,,
102.5,,,,,0.9006073992269464,,
104.699,,,,,,,0.8415093503500842
104.78,,,,,,0.8086240357807836,
104.799,0.8428011448481831,,,,,,
104.8,,0.7843806889544319,,,,,
104.899,,,0.8380049137452777,0.8222868429715791,,,
108,,,,,0.9254555494202098,,
110.199,,,0.8783980133675006,,,,
110.399,,,,,,,0.8811560164258915
110.599,0.8818442010950722,,,,,0.8566404287389047,
110.7,,0.8390511000409252,,,,,
110.999,,,,0.8672226489630198,,,
116.84,,,,,0.9491993373826615,,
117.999,,,0.9202044752067208,,,,
118.3,,0.8917952046965185,,,,,
118.399,,,,,,,0.9209282401252622
118.599,,,,,,0.904440087875713,
119.499,0.9210220673635308,,,,,,
119.999,,,,0.9108416547788873,,,
130.5,,0.9456400558840548,,,,,
131.899,,,,,,,0.9603681054093178
132,,,,,0.9740474875759249,,
132.299,,,0.9595012284363195,,,,
132.498,,,,,,0.9521313801018649,
133.998,0.9600029036004646,,,,,,
134.5,,0.9567604182836822,,,,,
134.76,,,,,0.9795692987299834,,
136.298,,,0.967651176921248,,,,
136.798,,,,,,,0.9683003929215044
137.199,,,,,,0.9617563320756204,
137.898,0.9680085448813672,,,,,,
137.899,,,,0.9554482607264347,,,
139.2,,0.967591481915299,,,,,
139.44,,,,,0.9845389287686361,,
141.998,,,0.975827543391541,,,,
142.998,,,,0.9645561286074839,,,
143.698,,,,,,,0.9763065378593164
143.707,,,,,,0.9712827686760519,
144.998,0.9762526962004314,,,,,,
147.38,,0.9782531999266169,,,,,
149.23,,,,0.9732799297706572,,,
150.998,,,0.983951073891105,,,,
152.407,,,,,,,0.9841945109161275
153.998,0.984154637464742,,,,,,
154.221,,,,,,0.9809077206498074,
154.5,,,,,0.9895085588072888,,
155.548,,,,0.9821683309557775,,,
162.5,,0.9893382819886821,,,,,
165.398,,,,,,,0.9920750982303761
166.798,,,,0.9911115988148799,,,
168.898,,,0.9919028874858004,,,,
173.138,,,,,,0.9904243057129065,
174.998,0.9920047287207566,,,,,,
183.7,,,,,0.9944781888459415,,
279.497,,,,1.0,,,
303.397,,,1.0,,,,
327.947,,,,,,,1.0
405.995,1.0,,,,,,
416.095,,,,,,1.0,
1027,,1.0,,,,,
1028.8,,,,,1.0,,
