count_name,count_value__Emory,count_value__MIMIC,count_value__OHSU,count_value__RUSH,count_value__Sunnybrook,count_value__UCMC,count_value__UMN,count_value__UPenn,count_value__ALL
0_total_hospitalizations,1484968.0,545987.0,660024.0,255582.0,269599.0,166781.0,4443564.0,2469264.0,10295769.0
1_adult_hospitalizations,1484968.0,545987.0,660024.0,255582.0,269599.0,166781.0,4443564.0,2469264.0,10295769.0
1b_before_stitching,1484968.0,545987.0,660024.0,255582.0,269599.0,166781.0,4443564.0,2469264.0,10295769.0
1b_after_stitching,1446218.0,535706.0,648225.0,252930.0,267258.0,166644.0,4336238.0,2435619.0,10088838.0
1b_stitched_hosp_ids,38750.0,10281.0,11799.0,2652.0,2341.0,137.0,107326.0,33645.0,206931.0
1_icu_encounters,65986.0,68471.0,38486.0,34485.0,31215.0,33641.0,105881.0,121513.0,499678.0
2_advanced_resp_support_hospitalizations,38280.0,29933.0,21291.0,16523.0,10038.0,24127.0,84201.0,75746.0,300139.0
2b_nippv_hfnc_hospitalizations,25032.0,5965.0,6548.0,6606.0,3519.0,11237.0,58250.0,54316.0,171473.0
3_vasoactive_hospitalizations,27763.0,19954.0,21561.0,9889.0,11932.0,14619.0,38971.0,48197.0,192886.0
4_other_critically_ill,3211.0,4007.0,2772.0,1503.0,3636.0,2363.0,18683.0,10457.0,46632.0
5_all_critically_ill,82856.0,72510.0,47492.0,39687.0,42642.0,42152.0,160998.0,152645.0,640982.0
6_ward_no_critical_care,380899.0,341681.0,153566.0,158788.0,147965.0,115864.0,838339.0,559622.0,2696724.0
ward_cohort_total,463755.0,414191.0,201058.0,198475.0,190607.0,158016.0,999337.0,712267.0,3337706.0
sepsis_encounters,15245.0,7321.0,8165.0,7364.0,5079.0,11350.0,7701.0,31478.0,93703.0
sepsis_incidence_pct,3.3,1.8,4.1,3.7,2.7,7.2,0.8,4.4,28.0
sepsis_icu_encounters,14295.0,7320.0,7544.0,7178.0,4718.0,10162.0,6691.0,28200.0,86108.0
sepsis_icu_pct,21.7,10.7,19.6,20.8,15.1,30.2,6.3,23.2,147.6
sepsis_advanced_resp_encounters,9598.0,6335.0,5047.0,4078.0,387.0,7837.0,5523.0,20788.0,59593.0
sepsis_advanced_resp_pct,25.1,21.2,23.7,24.7,3.9,32.5,6.6,27.4,165.1
sepsis_vaso_encounters,9850.0,5529.0,5477.0,4330.0,3786.0,6764.0,5209.0,18886.0,59831.0
sepsis_vaso_pct,35.5,27.7,25.4,43.8,31.7,46.3,13.4,39.2,263.0
sepsis_other_ci_encounters,370.0,1.0,314.0,106.0,315.0,600.0,336.0,1398.0,3440.0
sepsis_other_ci_pct,11.5,0.0,11.3,7.1,8.7,25.4,1.8,13.4,79.2
