comorbidity,n_patients__Emory,n_patients__MIMIC,n_patients__OHSU,n_patients__RUSH,n_patients__Sunnybrook,n_patients__UCMC,n_patients__UMN,n_patients__UPenn,n_patients__ALL,prevalence_percent__Emory,prevalence_percent__MIMIC,prevalence_percent__OHSU,prevalence_percent__RUSH,prevalence_percent__Sunnybrook,prevalence_percent__UCMC,prevalence_percent__UMN,prevalence_percent__UPenn,prevalence_percent__ALL,per_1000_hospitalizations__Emory,per_1000_hospitalizations__MIMIC,per_1000_hospitalizations__OHSU,per_1000_hospitalizations__RUSH,per_1000_hospitalizations__Sunnybrook,per_1000_hospitalizations__UCMC,per_1000_hospitalizations__UMN,per_1000_hospitalizations__UPenn,per_1000_hospitalizations__ALL
renal_disease,114357,35411,25527,48407,18545,23203,228961,154233,648644,24.69,19.94,12.85,26.33,11.07,24.08,22.91,21.65,21.629816,246.9,199.4,128.5,263.3,110.7,240.8,229.1,216.5,216.298158
congestive_heart_failure,106703,34327,24828,39529,24503,25646,188155,159966,603657,23.03,19.33,12.5,21.5,14.62,26.61,18.83,22.46,20.12967,230.3,193.3,125.0,215.0,146.2,266.1,188.3,224.6,201.296701
chronic_pulmonary_disease,88427,35854,36696,44857,25533,26933,224905,164490,647695,19.09,20.19,18.47,24.4,15.23,27.95,22.51,23.1,21.59817,190.9,201.9,184.7,244.0,152.3,279.5,225.1,231.0,215.981702
diabetes_with_complications,76455,24882,17800,37432,0,14957,125961,98277,395764,16.5,14.01,8.96,20.36,0.0,15.52,12.6,13.8,13.197227,165.0,140.1,89.6,203.6,0.0,155.2,126.0,138.0,131.972275
diabetes_uncomplicated,58624,24119,22599,21997,42900,11906,139339,99976,421460,12.66,13.58,11.38,11.97,25.6,12.35,13.94,14.04,14.054092,126.6,135.8,113.8,119.7,256.0,123.5,139.4,140.4,140.540915
peripheral_vascular_disease,45995,13566,9343,24001,24078,5804,81085,80563,284435,9.93,7.64,4.7,13.06,14.37,6.02,8.11,11.31,9.484828,99.3,76.4,47.0,130.6,143.7,60.2,81.1,113.1,94.848278
cancer,37767,16077,26682,26852,2819,10388,90132,73678,284395,8.15,9.05,13.43,14.61,1.68,10.78,9.02,10.34,9.483494,81.5,90.5,134.3,146.1,16.8,107.8,90.2,103.4,94.83494
myocardial_infarction,35651,17504,11665,21740,18582,4951,92851,57215,260159,7.7,9.86,5.87,11.83,11.09,5.14,9.29,8.03,8.675315,77.0,98.6,58.7,118.3,110.9,51.4,92.9,80.3,86.753153
cerebrovascular_disease,34954,14484,11517,20483,41014,6355,81424,55365,265596,7.55,8.16,5.8,11.14,24.47,6.59,8.15,7.77,8.856619,75.5,81.6,58.0,111.4,244.7,65.9,81.5,77.7,88.566187
metastatic_solid_tumor,24089,9993,13316,17280,63781,8917,48855,48666,234897,5.2,5.63,6.7,9.4,38.06,9.25,4.89,6.83,7.832924,52.0,56.3,67.0,94.0,380.6,92.5,48.9,68.3,78.329235
mild_liver_disease,23007,11628,12995,16320,4530,4520,58557,37732,169289,4.97,6.55,6.54,8.88,2.7,4.69,5.86,5.3,5.645146,49.7,65.5,65.4,88.8,27.0,46.9,58.6,53.0,56.451457
dementia,21603,9149,6128,7307,13572,4360,65088,34106,161313,4.66,5.15,3.08,3.97,8.1,4.52,6.51,4.79,5.379176,46.6,51.5,30.8,39.7,81.0,45.2,65.1,47.9,53.791764
connective_tissue_disease,15465,5920,5150,8610,1465,2880,39490,24975,103955,3.34,3.33,2.59,4.68,0.87,2.99,3.95,3.51,3.466505,33.4,33.3,25.9,46.8,8.7,29.9,39.5,35.1,34.665047
hemiplegia,8796,4347,5617,3810,0,3113,19699,15386,60768,1.9,2.45,2.83,2.07,0.0,3.23,1.97,2.16,2.026382,19.0,24.5,28.3,20.7,0.0,32.3,19.7,21.6,20.263822
moderate_severe_liver_disease,6958,7029,5738,6379,395,2473,23563,12633,65168,1.5,3.96,2.89,3.47,0.24,2.57,2.36,1.77,2.173105,15.0,39.6,28.9,34.7,2.4,25.7,23.6,17.7,21.731055
peptic_ulcer_disease,5937,3066,2624,3139,2548,1891,18461,9221,46887,1.28,1.73,1.32,1.71,1.52,1.96,1.85,1.29,1.563504,12.8,17.3,13.2,17.1,15.2,19.6,18.5,12.9,15.635035
aids,4355,983,1043,1647,14223,677,2091,3873,28892,0.94,0.55,0.53,0.9,8.49,0.7,0.21,0.54,0.963439,9.4,5.5,5.3,9.0,84.9,7.0,2.1,5.4,9.634386
